Topic,Count,Name,Representation,Representative_Docs
-1,478,-1_joe_the_biden_to,"['joe', 'the', 'biden', 'to', 'president', 'on', 'of', 'in', 'facebook', 'bidens']","['A post shared on Facebook claims Facebook removed the title of President from Donald Trump’s official Facebook page, replacing it with Political Candidate, following President-elect Joe Biden’s victory in the 2020 presidential election.', 'A video shared on Facebook claims former President Donald Trump jailed an aide of President Joe Biden’s 2020 campaign for election fraud.', 'An image shared on Facebook purportedly shows a letter former President Donald Trump left for President Joe Biden that reads, Joe, you know I won.']"
0,89,0_shows_photograph_image_on,"['shows', 'photograph', 'image', 'on', 'with', 'an', 'president', 'photo', 'shared', 'joe']","['An image shared on Facebook allegedly shows President Joe Biden and Kenyan Deputy President William Ruto meeting at the White House.', 'An image shared on Facebook purportedly shows former Vice President Joe Biden biting a young girl on the cheek.', 'An image shared on Facebook purportedly shows President Joe Biden posing for a picture with White House Press Secretary Jen Psaki with his hands on her chest.']"
1,88,1_gas_prices_pipeline_oil,"['gas', 'prices', 'pipeline', 'oil', 'keystone', 'ban', 'climate', 'fracking', 'biden', 'energy']","['A gas prices meme accurately shows high prices under U.S. President Joe Biden and low prices under former U.S. President Donald Trump.', 'Low gas prices in Russia, Kuwait and Saudi Arabia show that Joe Biden’s decision to cancel the Keystone Pipeline project is to blame for U.S. prices.', 'The cancellation of the Keystone XL pipeline by Joe Biden killed hundreds of jobs, sent gas prices way up.']"
2,80,2_donald_2020_joe_presidential,"['donald', '2020', 'joe', 'presidential', 'trump', 'us', 'biden', 'president', 'the', 'speech']","['Democratic 2020 presidential nominee Joe Biden called U.S. President Donald Trump xenophobic.', 'Joe Biden said Donald Trump was still US president in speech', 'A viral Facebook post claims President Donald Trump said, If you elect Joe Biden, there will be no hand sanitizer.']"
3,76,3_votes_ballots_election_in,"['votes', 'ballots', 'election', 'in', '2020', 'wisconsin', 'trump', 'for', 'were', 'electoral']","['A post on Twitter claims 6,000 fraudulent votes cast for President-elect Joe Biden were found in Arizona, reducing his roughly 10,000-vote lead to 4,000 votes.', '221,000 votes were switched from Trump to Biden in Pennsylvania', ""Some 2,600 uncounted votes, a majority of which were cast for U.S. President Donald Trump, were found in Floyd County, Georgia, moving the president about 800 votes closer to President-elect Joe Biden's tally in the 2020 general election.""]"
4,73,4_hunter_son_laptop_pelosi,"['hunter', 'son', 'laptop', 'pelosi', 'military', 'was', 'nancy', 'on', 'bidens', 'facebook']","['A video shared on Facebook claims Republican Texas Sen. Ted Cruz leaked information stemming from Hunter Biden’s laptop that implicated House Speaker Nancy Pelosi.', 'A post shared on Facebook claims House Speaker Nancy Pelosi’s son Paul Pelosi Jr. and Utah Sen. Mitt Romney’s son served on the Ukrainian gas company Burisma Holdings’ board of directors with Democratic presidential candidate Joe Biden’s son Hunter Biden.', 'A post shared on Facebook claims the U.S. military recently arrested Hunter Biden, the son of President Joe Biden, as he was attempting to re-enter the country.']"
5,70,5_covid19_vaccine_vaccines_vaccinated,"['covid19', 'vaccine', 'vaccines', 'vaccinated', 'said', 'not', 'people', 'biden', 'the', 'died']","['An image shared on Facebook claims President Joe Biden announced that Americans not vaccinated against COVID-19 before 2022 will be put in quarantine camps.', 'An image shared on Facebook more than 200 times claims former Vice President Joe Biden said, People who have never died before are now dying from corona virus [sic].', 'Quotes Joe Biden as saying people who have never died before are now dying from coronavirus.']"
6,70,6_video_shows_speech_joe,"['video', 'shows', 'speech', 'joe', 'biden', 'in', 'at', 'purportedly', 'white', 'chanting']","['A video shared on Facebook purportedly shows President Joe Biden saying the N-word during a recent speech.', 'A video shared on Facebook purportedly shows Democratic presidential nominee Joe Biden saying Hello, Minnesota while at a campaign event in Tampa, Florida.', 'A YouTube video shared on Facebook purportedly shows Democratic presidential nominee Joe Biden waving to an empty field while disembarking from a plane in Tampa, Florida during a campaign stop.']"
7,57,7_harris_kamala_vice_president,"['harris', 'kamala', 'vice', 'president', 'resigned', 'from', 'resign', 'joe', 'become', 'biden']","['Vice presidential candidate Kamala Harris said Joe Biden is trash to me.', 'A video shows U.S. President Joe Biden accidentally referring to Vice President Kamala Harris as President Harris.', 'A video shared on Facebook claims President Joe Biden and Vice President Kamala Harris have resigned and former President Donald Trump has been reinstated as president.']"
8,52,8_border_administration_illegal_the,"['border', 'administration', 'illegal', 'the', 'immigrants', 'immigration', 'in', 'are', 'into', 'to']","['The Biden Administration is recklessly releasing hundreds of illegal immigrants who have COVID into Texas communities.', 'Says Joe Biden is restricting travel for Americans into Mexico, but is keeping the border wide open for illegal aliens to walk right into our country.', ""In the last several months, the Biden administration has released over 7,000 illegal aliens who were COVID positive just in one Texas city. Biden's border policies are endangering not just the people of Texas, but people all across the country.""]"
9,43,9_tax_taxes_your_raise,"['tax', 'nature', 'your', 'climate', 'percent', 'home', 'increase', 'wants', 'capital', 'gains']","['Says Joe Biden wants to put a 3% annual federal tax on your home.', 'A post shared on Facebook over 126,000 times claims Democratic presidential nominee Joe Biden’s tax plan would raise income taxes from 12 percent to 25 percent for families making $75,000.', ""A Facebook post correctly describes and compares the Trump and Biden administrations' tax plans, including massive tax hikes for corporate taxes, payroll taxes, small business taxes, and capital gains.""]"
10,41,10_economy_rights_the_said,"['economy', 'rights', 'the', 'said', 'of', 'war', 'says', 'thenus', 'joe', 'that']","['An image shared on Facebook claims former Vice President Joe Biden said, No ordinary American cares about their constitutional rights.', 'An image shared on Facebook purportedly shows an article from The Atlantic titled The Quiet Courage of Biden’s Negative Growth Economy.', ""On foreign policy, Joe Biden was against aid for Vietnam, said the fall of the Shah was a step forward for human rights in Iran, opposed Reagan's defense build-up and voted against the first Gulf War.""]"
11,38,11_ukraine_putin_russian_vladimir,"['ukraine', 'putin', 'russian', 'vladimir', 'to', 'ukrainian', 'president', 'company', 'biden', 'ukraines']","[""Fact: Joe Biden pressured Ukraine to fire its prosecutor .... Fact: the prosecutor said he was forced out for leading a corruption probe into Hunter Biden's company. Fact: Democrats want to impeach President Trump for discussing this investigation with Ukraine's President."", 'When Joe Biden’s son Hunter was serving as a director to Ukraine’s largest private gas producer, the elder Biden threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into the gas company.', 'An image shared on Facebook allegedly shows a CNN chyron claiming Russian President Vladimir Putin will not invade Ukraine until U.S. President Joe Biden delivers weapons to the country for Russia to capture.']"
12,37,12_kneeling_floyds_flag_george,"['kneeling', 'floyds', 'flag', 'george', 'knee', 'an', 'during', 'daughter', 'the', 'president']","['An image shared on Facebook over 3,200 times purportedly shows former Vice President Joe Biden kneeling in protest after seeing an American flag during a visit to his hometown.', ""US President Trump's new president Joe Biden has apologized for kneeling in front of the daughter of a black man who was strangled to death by white American police during the Trump administration."", 'The new US President Joe Biden kneeling and apologising in front of the daughter of a black man who was strangled to death by white American police during the Trump administration']"
13,35,13_medicare_health_social_security,"['medicare', 'health', 'social', 'security', 'benefits', 'insulin', 'and', 'free', 'to', 'insurance']","['Biden announced free dental coverage for all seniors through Medicare', 'In 1983, Joe Biden voted in favor of taxing 50% of Social Security and in 1993, Biden was the deciding vote in raising the percentage taxed on Social Security from 50% to 85%.', 'Says Joe Biden tried to cut Social Security and Medicare for decades. ... Now Biden’s promising your benefits to illegal immigrants.']"
14,28,14_mask_masks_wear_wearing,"['mask', 'masks', 'wear', 'wearing', 'shows', 'gretchen', 'whitmer', 'pandemic', 'purportedly', 'face']","['An image shared on Facebook purportedly shows Democratic presidential nominee Joe Biden not wearing a face mask on an airplane during the COVID-19 pandemic.', 'Says Joe Biden was the only world leader to wear a face mask during a video conference.', 'An image shared on Facebook purportedly shows Democratic presidential nominee Joe Biden violating social distancing guidelines and not wearing a mask at a recent event.']"
15,27,15_jill_lady_first_she,"['jill', 'lady', 'first', 'she', 'biden', 'wife', 'was', 'dr', 'started', 'child']","['First lady Jill Biden was a teenager working as the Biden family babysitter when she started dating President Joe Biden.', 'An image shared on Facebook claims President Joe Biden started a physical relationship with First Lady Jill Biden while she was his teenage baby sitter and his first wife was hospitalized.', 'An image shared on Facebook allegedly shows First Lady Jill Biden wearing a lobster jacket to an event.']"
16,27,16_executive_order_signed_orders,"['executive', 'order', 'signed', 'orders', 'an', 'president', 'us', 'blank', 'claims', 'shared']","['Video shows US President Joe Biden signing blank executive orders', 'Joe Biden signed blank executive orders on the first day of his presidency', 'A post shared on Facebook claims President Joe Biden signed blank executive orders.']"
17,24,17_air_force_not_one,"['air', 'force', 'not', 'one', 'president', 'never', 'funeral', 'refused', 'the', 'plane']","['A post shared on Facebook claims President Joe Biden has never flown on Air Force One.', 'Biden’s Air Force One is not the same as Trump’s Air Force One, which indicates Biden is not the real president.', ""On Joe Biden's first trip home to Delaware as President, the plane he flew was not Air Force One, proving Donald Trump remains President.""]"
18,24,18_inflation_jobs_back_month,"['inflation', 'jobs', 'back', 'month', 'trillion', 'job', 'than', 'now', 'zero', 'inherited']","['A viral post shared on Facebook over 19,000 times claims April 2020 had the lowest unemployment rate in American history, while also alleging President Joe Biden’s job plan costs $4 trillion.', 'The Biden administration has created more than double the number of jobs per month, on average, than any other administration going back to George H.W. Bush.', ""The Biden administration inherited gains of 50,000 jobs a month. We're now finally back to 500,000 jobs a month. We inherited a country where 4,000 people a day were dying from Covid. That's now down 75%.""]"
19,23,19_afghanistan_marines_inauguration_troops,"['afghanistan', 'marines', 'inauguration', 'troops', 'marine', 'guard', 'behind', 'request', 'commandant', 'afghan']","['the commandant of the US Marine Corps denied Speaker of the House Nancy Pelosi’s request for troops to provide security for Joe Biden’s inauguration', 'Gen. David H. Berger, commandant of the U.S. Marines, refused U.S. House Speaker Nancy Pelosi’s request to use the Marines as security for President-elect Joe Biden’s inauguration on Jan. 20, 2021, saying, We don’t work for you! and adding that the Marines only take orders from President Donald Trump.', 'A viral Facebook post shared over 500 times claims Gen. David Berger, commandant of the U.S. Marine Corps, refused House Speaker Nancy Pelosi’s request for 5,000 troops to help safeguard Biden’s Jan. 20 inauguration from Trump supporters and insurrectionists.']"
20,21,20_gun_wants_gather_to,"['gun', 'wants', 'gather', 'to', 'the', 'guns', 'amendment', 'second', 'away', 'pistols']","['Linn County Sheriff Tim Mueller sent a letter to Vice President Biden stating that he would not enforce any unconstitutional regulations regarding gun rights.', 'If elected, U.S. Democratic presidential candidate Joe Biden wants to abolish the Second Amendment, regarding the right of the people to keep and bear Arms.', 'A video shared on Facebook purportedly shows President Joe Biden stating that the government will gather up every gun in America.']"
21,17,21_debt_student_colleges_universities,"['debt', 'student', 'colleges', 'universities', 'historically', 'loan', 'billion', 'black', 'claimed', 'pension']","['President Joe Biden claimed in a forum Oct. 23 that he signed a law into effect regarding student loan debt forgiveness.', 'U.S. President Joe Biden revoked $250 million in funding for Historically Black Colleges and Universities pledged by former President Donald Trump.', 'An image shared on Facebook claims President Joe Biden canceled $250 million in funding that former President Donald Trump gave to historically black colleges and universities (HBCUs).']"
22,16,22_debate_during_wire_presidential,"['debate', 'during', 'wire', 'presidential', 'wearing', 'an', 'democratic', 'lenses', 'podium', 'redhanded']","['A video shared on Facebook claims Democratic presidential nominee Joe Biden had an iPad at his podium during the final presidential debate on Oct. 22.', 'Says Joe Biden was wearing a wire during the first presidential debate.', 'An image shared on Facebook purportedly shows Democratic presidential candidate Joe Biden wearing a wire during the first presidential debate on Tuesday.']"
23,13,23_police_defund_defunding_funding,"['police', 'defund', 'defunding', 'funding', 'absolutely', 'affairs', 'our', 'abolish', 'record', 'says']","['Says Joe Biden was in charge of the H1N1 Swine Flu epidemic which killed thousands of people. The response was one of the worst on record. Our response is one of the best, with fast action of border closings & a 78% Approval Rating, the highest on record. His was lowest!', 'President Donald Trump claimed on Twitter that former Vice President Joe Biden wants to defund the police.', 'Says Joe Biden wants to defund the police.']"
24,13,24_dog_dogs_fish_major,"['dog', 'dogs', 'fish', 'major', 'man', 'corn', 'adopted', 'german', 'shepherd', 'eats']","['An image shared on Facebook attributes to President Joe Biden a quote that reads, Buy a man eat fish, he day, teach fish man, to a lifetime.', ""The Delaware Humane Association dog shelter is celebrating Major’s ascension to first dog ahead of U.S. President Joe Biden's inauguration with a virtual Indoguration party and fundraiser on Jan. 17, 2021."", ""In early March 2021, U.S. President Joe Biden and first lady Jill Biden's two dogs were sent to their family home in Delaware because the youngest dog, Major, bit someone at the White House.""]"
25,12,25_approval_rating_poll_lowest,"['approval', 'rating', 'poll', 'lowest', 'percent', 'any', 'ever', 'president', 'of', 'than']","['An image shared on Facebook claims President Joe Biden received more votes than any president yet has the lowest approval rating of any President ever.', 'New poll indicates Joe Biden’s approval at 11%, the lowest approval rating of any president in American history.', 'President Joe Biden has the lowest approval rating of any president ever.']"
26,12,26_consent_age_lowered_children,"['consent', 'age', 'lowered', 'children', 'old', 'of', 'administration', 'years', 'eight', 'cnn']","['Says Joe Biden has officially lowered the age of consent to 5 years old.', 'An image shared on Facebook purportedly shows a CNN article reporting that the Biden administration lowered the age of consent to eight years old.', 'An image of a purported CNN news story shared on social media claims that President Joe Biden’s administration has lowered the US age of consent to eight. The claim is false; age of consent laws do not fall under presidential jurisdiction, and the screenshot of the article is doctored from an unrelated CNN story. Biden administration lowered age of consent to 8']"
27,12,27_asleep_sleeping_falling_prime,"['asleep', 'sleeping', 'falling', 'prime', 'interview', 'video', 'minister', 'tv', 'during', 'shows']","['Video shows Joe Biden asleep during a live TV interview', 'A video shows the U.S. President Joe Biden falling asleep during a conversation with Israeli Prime Minister Naftali Bennett, on Aug. 27, 2021.', 'A video shared on Facebook purportedly shows President Joe Biden asleep during a meeting with Israeli Prime Minister Naftali Bennett.']"
